model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,precision,recall,F1-score,TP,FP,FN,average IOU,mAP
yolov3-30obj_80000,62.85,39.18,43.55,42.6,24.05,17.34,15.86,38.08,31.14,42.28,61.07,39.68,62.19,61.98,62.56,59.41,40.0,3.03,35.47,53.24,12.36,11.15,41.31,3.46,0.11,0.72,0.0,0.25,0.75,0.0,,,,,,,,,,,,,,,,,,,,,0.62,0.4,0.49,72196.0,45023.0,106820.0,47.43,30.189
yolov3-tiny-30obj-labelfixed_80000,46.98,18.54,23.26,25.68,13.95,10.58,7.54,29.07,18.69,32.87,43.81,26.39,63.15,53.45,50.89,43.74,34.74,5.4,34.18,35.65,6.01,29.01,34.15,9.91,1.13,0.39,0.0,0.33,1.33,0.0,,,,,,,,,,,,,,,,,,,,,0.76,0.2,0.32,36351.0,11774.0,142665.0,55.69,23.3606
yolov3-tiny-30obj_100000,48.73,18.08,24.23,24.91,14.57,7.78,4.96,28.44,17.79,35.36,45.75,27.05,61.34,55.17,48.88,49.29,35.34,6.2,33.2,36.33,7.91,8.24,14.14,4.99,0.23,0.09,0.0,0.14,0.74,0.0,,,,,,,,,,,,,,,,,,,,,0.66,0.23,0.34,41461.0,20889.0,137555.0,47.98,21.9956
yolov3-50obj,64.91,41.27,79.31,66.25,20.93,40.2,16.47,43.12,37.59,40.56,44.63,44.58,28.04,18.89,17.18,43.62,35.07,48.38,32.83,56.54,39.29,72.45,63.33,66.09,53.67,28.7,57.93,36.2,60.17,43.25,5.32,47.21,53.29,10.32,65.37,45.14,28.2,53.57,0.0,14.78,19.49,28.25,29.68,15.58,18.02,23.23,30.4,36.52,34.37,36.91,0.62,0.44,0.51,96074.0,59403.0,121652.0,46.52,38.7417
yolov3-30obj_60000,55.23,32.94,37.02,37.72,21.29,16.06,13.53,31.7,26.79,42.04,43.1,31.2,62.9,61.18,59.6,55.12,39.84,4.55,35.45,49.97,13.74,10.81,30.9,1.18,0.02,0.37,0.0,0.02,0.1,0.0,,,,,,,,,,,,,,,,,,,,,0.62,0.33,0.43,58984.0,35888.0,120032.0,46.62,27.1457
yolov3-tiny-30obj_70000,46.8,19.62,23.4,24.59,13.89,10.52,9.62,28.77,19.33,37.6,45.73,28.73,62.45,53.76,47.58,46.31,33.29,5.77,33.67,35.21,6.83,9.81,4.37,3.17,0.08,0.05,0.0,0.18,0.39,0.0,,,,,,,,,,,,,,,,,,,,,0.67,0.2,0.31,36600.0,18283.0,142416.0,48.57,21.717100000000002
yolov3-50obj_110000,57.56,36.22,74.35,62.81,20.32,33.65,14.72,35.22,19.0,33.4,41.09,44.75,27.74,12.87,13.6,38.87,22.64,44.19,33.38,49.3,32.69,66.45,63.38,64.0,53.3,26.73,55.35,35.89,60.12,43.77,12.32,40.51,50.2,11.39,61.34,38.79,23.91,48.25,0.0,16.52,17.43,24.07,25.55,10.24,12.48,14.59,14.65,19.61,24.93,26.4,0.57,0.39,0.46,84020.0,64555.0,133706.0,42.35,34.210499999999996
yolov3-50obj_107500,60.08,37.03,75.84,63.3,22.26,37.33,16.68,40.22,28.62,38.96,42.35,42.21,27.78,13.64,15.94,37.04,25.47,41.69,35.17,49.56,30.04,70.81,63.52,62.81,51.74,27.68,50.9,35.7,58.32,42.0,11.39,43.73,49.64,11.34,59.01,44.13,26.83,49.59,0.0,15.55,16.84,26.05,26.7,13.25,16.76,21.68,17.17,20.31,24.99,30.76,0.58,0.4,0.48,88123.0,63594.0,129603.0,44.3,35.4082
yolov3-30obj_100000,65.28,39.66,44.68,45.56,24.21,19.0,16.72,41.46,33.8,50.74,60.55,41.52,68.98,65.33,66.12,59.7,45.83,1.3,35.83,57.83,11.36,11.33,24.61,9.46,0.18,0.89,0.0,0.52,1.36,0.0,,,,,,,,,,,,,,,,,,,,,0.6,0.43,0.5,77479.0,51267.0,101537.0,46.01,31.4594
yolov3-tiny-30obj_75000,48.66,15.05,23.77,25.57,14.2,6.11,10.02,29.16,19.07,36.83,48.51,28.49,62.96,54.56,49.54,49.15,33.91,3.85,34.22,35.18,6.75,10.28,19.64,0.76,0.03,0.09,0.0,0.33,0.66,0.0,,,,,,,,,,,,,,,,,,,,,0.69,0.22,0.34,40249.0,18038.0,138767.0,50.36,22.2455
